AGENCY_NAME,PROGRAM_NAME,AGENCY_KEY,PROGRAM_KEY,COUNTY
Greenbriar Childrens Center,Supportive Housing,3306,228,Chatham
"Habersham Homeless Ministries, Inc.",Shelter,6886,3267,Habersham
Head of the Giant Ministry Inc,Head of the Giant (Men),13389,7045,
Head of the Giant Ministry Inc,Head of the Giant (Women),13389,7047,
Highland Rivers CSB,Heritage Scattered Sites,4307,1926,
Highland Rivers CSB,Oak Ridge Shelter + Care,4307,7024,
"HODAC, Inc.",Shelter Plus Care,4328,1936,
"HODAC, Inc.",Transitional shelter,4328,1935,Houston
Homes of Light,Fulton -PD,14168,7452,Fulton
Homes of Light,GRIP ,14168,7449,
Homes of Light,H2H,14168,7448,
Homes of Light,S2H,14168,7451,
Homes of Light,Vet Connect,14168,7450,
"HomeStretch - Housing Initiative of North Fulton, Inc.",Level 1-Transitional ,2791,588,Fulton
"HomeStretch - Housing Initiative of North Fulton, Inc.",Permanent Supportive Housing,2791,589,
"Hope House, Inc.",Homeless/SHP,2167,5579,
"Hope House, Inc.",RFW,2167,717,Richmond
"Hope House, Inc.",RWF Outpatient,2167,6888,
"Hope House, Inc.",SHP,2167,6044,
Hosea Feed the Hungry and the Homeless,Dekalb HPP (rental only) ,1958,6832,DeKalb
Hosea Feed the Hungry and the Homeless,Dekalb HPP(utility only),1958,6828,DeKalb
Hosea Feed the Hungry and the Homeless,Fulton County Homeless Prevention,1958,6271,Fulton
Hosea Feed the Hungry and the Homeless,HFTH / UWGA,1958,7639,
Hosea Feed the Hungry and the Homeless,HFTH/FACCA HPP,1958,6833,
Hosea Feed the Hungry and the Homeless,United Way/HP,1958,3066,
"House of Dawn, Inc.","House of Dawn, INC",8448,4291,Clayton
Housing Authority of Savannah,Shelter Plus Care,9249,5960,
"Impact International, Inc.",415 Hope Center,6713,3738,Carroll
Initiative for Affordable Housing,Transitional Housing Atlanta,2671,7504,
Initiative for Affordable Housing,Transitional Housing DeKalb,2671,554,
Inner City Night Shelter,"\ABIDE\\\""""",3504,4316,Chatham
Inner City Night Shelter,Residential/Transitional,3504,511,Chatham
Inner City Night Shelter,Safe Haven,3504,510,Chatham
Inner City Night Shelter,Safe Haven 2,3504,7656,
Inner City Night Shelter,Seasonal Beds,3504,7293,
Inner City Night Shelter,Seasonal Beds/W,3504,7292,
Inner City Night Shelter,Sojourner,3504,4050,Chatham
Interfaith Hospitality,Interfaith Hospitality Network ,3268,4261,Chatham
Interfaith Hospitality Network of Athens,Hospitality,5327,2931,Clarke
"Interfaith Outreach Home, Inc.",DeKalb ESG Transitional Housing,1030,508,DeKalb
Jefferson Place Assessment Center,AC Level I (Resettlement),77,4142,Fulton
Jefferson Place Assessment Center,AC Level II (Vocational) - Tier 1,77,4144,Fulton
Jefferson Place Assessment Center,AC Level III (Substance Abuse),77,4145,Fulton
Jefferson Place Assessment Center,AC Level IV (Emergency Services),77,6047,
Jefferson Place Assessment Center,Springdale Place,77,6452,
Jefferson Place Assessment Center,Transitional Housing,77,1900,Fulton
Jefferson Place Assessment Center,Villas At The Dome II,77,6453,
"Jerusalem House, Inc.",Program For Adults,2670,1461,
"Jerusalem House, Inc.",Scattered Site I - S+C (Dekalb),2670,7514,
"Jerusalem House, Inc.",Scattered Site I - S+C (Fulton),2670,3721,
"Jerusalem House, Inc.",Scattered Site II - HOPWA (Atlanta),2670,7635,
"Jerusalem House, Inc.",Scattered Site II - HOPWA (Dekalb),2670,7515,
"Jerusalem House, Inc.",Scattered Site II - HOPWA (Fulton),2670,4461,
"Jerusalem House, Inc.",The Family Program,2670,3720,
Kirk Healing Center,Dodd Place,8950,6009,
Kirk Healing Center,Shippey,8950,5259,Liberty
Living Room,(HOPWA) TBRA / Atlanta,95,6853,
Living Room,(HOPWA) TBRA / Dekalb,95,7559,DeKalb
Living Room,(HOPWA) TBRA / Fulton,95,7560,Fulton
Living Room,(HOPWA) TBRA / NWGA (BOS),95,6854,
Living Room,(HOPWA) TBRA/ EMA,95,7714,
Living Room,Emergency Housing Grady Discharges,95,726,
Living Room,Emergency Housing Non-Grady,95,4027,
Living Room,Recuperative Housing,95,6852,
Living Room,SNHAP Program (Atlanta),95,7562,
Living Room,SNHAP Program (Dekalb),95,7561,DeKalb
Loaves & Fishes Ministry,Transitional Housing,3211,101,Bibb
"Lowndes Associated Ministries to People, Inc.",ESGP Shelter-Yes,2451,3139,Lowndes
"Lowndes Associated Ministries to People, Inc.",Men's Emergency Shelter,2451,7889,Lowndes
"Lowndes Associated Ministries to People, Inc.",THP-Yes,2451,2991,Lowndes
Lutheran Services of Georgia,Housing Placement Assistance,6429,7497,
Lutheran Services of Georgia,LSG-STRMU,6429,7392,
Macon Bibb County EOC Homeless Services Center,DCA- Homeless Prevention 2014,3046,6467,
Macon Bibb County EOC Homeless Services Center,DCA-Homeless Prevention,3046,4045,Bibb
Macon Bibb County EOC Homeless Services Center,DCA-Transitional Housing,3046,6465,
Macon Bibb County EOC Homeless Services Center,HUD Special Needs Housing,3046,3098,Bibb
"Making A Way Housing, Inc.",Damascus Inn,8066,4226,Fulton
"Making A Way Housing, Inc.",Daniel's Place,8066,3987,Fulton
"Making A Way Housing, Inc.",Fulton County,8066,6656,Fulton
"Making A Way Housing, Inc.",Gilead's Place,8066,3983,
"Making A Way Housing, Inc.",HOPWA,8066,6545,
"Making A Way Housing, Inc.",SNHAP/The Living Room,8066,6546,
"Making A Way Housing, Inc.",Travelers Aid,8066,6571,
"Maranatha Outreach, Inc.",Serenity Transition,3212,3701,Baldwin
Mary Hall Freedom House,Elizabeth's Place,2307,6100,Fulton
Mary Hall Freedom House,Higher Ground III,2307,6339,Fulton
Mary Hall Freedom House,Keys to Freedom,2307,7721,Fulton
Mary Hall Freedom House,Reaching New Heights,2307,215,Fulton
Mary Hall Freedom House,Trinity Hall,2307,3834,Fulton
Mary Hall Freedom House,Village of Hope,2307,6934,Fulton
McIntosh Trail CSB,SPC McIntosh Trail 0069L4B011205,3428,4569,
McIntosh Trail CSB,SPC McIntosh Trail GA0048C4B010800,3428,4570,
Middle Flint Behavioral Health Care,Shelter Plus Care,4266,1904,
"Middle Georgia Community Action Agency, Inc.",ESG Prevention DCA,10028,6414,
"Middle Georgia Community Action Agency, Inc.",Rapid ReHousing II,10028,6690,
Midtown Assistance Center,EFSP Phase 31,931,7556,
MUST Ministries,DCA ESG 2011-2012 BoS,1349,7043,
MUST Ministries,DCA ESG 2011-2012 Cobb,1349,6775,Cobb
MUST Ministries,DCA ESG 2012-2013 BoS,1349,7079,
MUST Ministries,DCA ESG 2012-2013 Cobb,1349,6938,Cobb
MUST Ministries,DCA ESG 2013-2014 BoS,1349,7376,
MUST Ministries,DCA ESG 2013-2014 Cobb,1349,7377,Cobb
MUST Ministries,ES FC  Motel Voucher,1349,6029,
MUST Ministries,ES YR SF+FC Elizabeth Inn Shelter,1349,6179,
MUST Ministries,ES YR SM Elizabeth Inn,1349,6199,
MUST Ministries,ES YR SMF Hospital Discharge,1349,6186,
MUST Ministries,PH MIX Shelter Plus Care Cherokee,1349,3110,Cherokee
MUST Ministries,PH MIX VET PSH Vets,1349,3737,
MUST Ministries,PH SMF Shelter Plus Care Cobb,1349,3736,Cobb
MUST Ministries,RRH Cobb ESG ,1349,7044,Cobb
MUST Ministries,Women's Winter Weather Shelter,1349,4176,
New Horizons Community Service Board,BOS Hotel/Motel Voucher Program,3168,7311,
New Horizons Community Service Board,BOS Shelter Plus Care,3168,6392,
New Horizons Community Service Board,Muscogee County Shelter Plus Care,3168,3194,
New Horizons Community Service Board,Rapid Rehousing Program,3168,7648,
New Horizons Community Service Board,Willow Glen,3168,4614,
New Life Community Center,Rapid Rehousing/Emergency Shelter,13748,7326,
"Nicholas House, Inc.",Boulevard,1990,591,
"Nicholas House, Inc.",H2H / Homeless to Homes-Atlanta,1990,590,
"Nicholas House, Inc.",H2H Homes to Homes- DCA,1990,7657,
"Nicholas House, Inc.",Homeless to Home/Dekalb County,1990,6733,
"Ninth District Opportunity, Inc.",(Active) ESG-P 13-14,9651,7352,
"Ninth District Opportunity, Inc.",(Active) ESG-R 13-14,9651,7351,
"Ninth District Opportunity, Inc.","(CLOSED)DCA11-12,RR,ESG-R",9651,6341,
"Ninth District Opportunity, Inc.",ESG-R (II),9651,6719,
Norcross Cooperative Ministries,ESG Prevention 2011,73,7862,
Norcross Cooperative Ministries,ESG Prevention 2012,73,6920,
Norcross Cooperative Ministries,ESG Prevention 2013,73,8092,
Norcross Cooperative Ministries,ESG Shelter 2012,73,6919,
Norcross Cooperative Ministries,ESG Shelter 2013,73,7427,
Oakhurst Recovery Program,Oakhurst Recovery,2549,3241,DeKalb
Oconee Community Service Board,Shelter Plus Care,5368,2943,
Oconee Community Service Board,Shelter Plus Care 2,5368,6216,
"Odyssey III-Community Concerns, Inc.",INACTIVE Women's TH,87,3404,
"Odyssey III-Community Concerns, Inc.",Odyssey III Rapid- Re-Housing,87,7505,
"Odyssey III-Community Concerns, Inc.",Odyssey III Women's ES,87,5959,
"Open Door Community House, Inc.",Transition Home For Women In Crisis,2821,341,Muscogee
Park Place Outreach,Basic Center,3229,1811,Chatham
"Phoenix Pass, Inc.",Transistional Housing,14608,7633,
"Phoenix Rising Center for Women, Inc.",VA WOMEN GPD PROGRAM,12588,6583,
Pineland CSB,Grant 11,6326,4541,
"Project Community Connections, Inc.",City of Atlanta ESG 2013-2014,79,7539,
"Project Community Connections, Inc.",DCA ESG 2012-2013,79,6786,
"Project Community Connections, Inc.",DCA ESG 2013-2014,79,7372,
"Project Community Connections, Inc.",DeKalb ESG 2012-2013,79,6785,
"Project Community Connections, Inc.",DeKalb KidsHome,79,6254,
"Project Community Connections, Inc.",HUD-SHP,79,3143,
"Project Community Connections, Inc.",PCCI Housing Advocacy ,79,5977,
"Project Community Connections, Inc.",PCCI-EFSP,79,5555,
"Project Community Connections, Inc.",SSVF Program,79,6866,
"Project Interconnections, Inc.",Phoenix House - S+C,6847,3284,
"Project Interconnections, Inc.",Presley Woods - S+C,6847,3283,
"Project Interconnections, Inc.",Rosalynn - S+C,6847,3282,
Quest Community Development Organization,Quest Veterans Village,4308,6442,
Quest Community Development Organization,Quest Village-Permanent Housing,4308,1928,
Quest Community Development Organization,The Leonard House,4308,4344,
Quest Community Development Organization,Transitional Housing,4308,1929,
"Rainbow Community Center, Inc.",Drug Rehabilitation Program,10508,6046,
"Rainbow Community Center, Inc.",Garden Gethsemane TH,10508,5996,
"Rainbow Community Center, Inc.",Garden of Gethsemane ES,10508,5761,Newton
"Rainbow Community Center, Inc.",Georgia Reentry Program,10508,5765,
"Rainbow Village, Inc.",Transitional Housing,7107,3427,Gwinnett
River Edge Behavioral Health Center,GA0046C4B010800/Baldwin/Bibb ,2117,5545,
River Edge Behavioral Health Center,GA0074L4B011205/S+CR,2117,3087,
River Edge Behavioral Health Center,GA0178C4B011000,2117,6367,
River Edge Behavioral Health Center,Ga01C701003/Transfer Grant,2117,6202,
River Edge Behavioral Health Center,GA0219L4B011201/MH Court ,2117,4011,
River Edge Behavioral Health Center,Grove Park,2117,3088,
River Edge Behavioral Health Center,HOPWA Transitional,2117,7371,
River Edge Behavioral Health Center,TANF Transitional Housing,2117,5806,Bibb
River Edge Behavioral Health Center,Tenant Based Rental Assistance,2117,7474,
Rockdale Emergency Relief Fund,ESG:  Hotel/Motel,1342,7069,
Rockdale Emergency Relief Fund,ESG:  Prevention,1342,6645,
Rockdale Emergency Relief Fund,ESG:  Rapid Re-Housing 2011-2012,1342,6973,
Rockdale Emergency Relief Fund,ESG:  Rapid Re-Housing 2013-2014,1342,7068,
Rockdale Emergency Relief Fund,ESG: Rapid Re-Housing 2012-2013,1342,6988,
Safe Harbor Children's Center,Safe Harbor Children Center,14348,7529,
Saint Stephens Ministries,Transitional Housing Program,2173,268,Richmond
South Georgia CSB - Behavioral Health Svcs,Chronically homeless,5261,6863,
South Georgia CSB - Behavioral Health Svcs,Shelter Plus Care,5261,2908,
South Georgia Partnership to End Homelessness,Transitional Housing,1970,6032,
"Southwest Georgia Community Action Council, Inc.",DCA ESG 12-13 RRH,11028,7030,
"Southwest Georgia Community Action Council, Inc.",DCA ESG Prev 13-14,11028,7653,
"Southwest Georgia Community Action Council, Inc.",DCA ESG Rapid RH 13-14,11028,7652,
"Southwest Georgia Community Action Council, Inc.",DCA-ESG11-12 RRH,11028,6992,
"Southwest Georgia Community Action Council, Inc.",DCA-ESG12-13 PREV,11028,6991,
"St Judes Recovery Center, Inc.",Candler Forrest,1201,3961,
"St Judes Recovery Center, Inc.",Men's Residential,1201,202,Fulton
